,Major,Degree Type,Early Career Pay,Mid-Career Pay,High Meaning
0,Petroleum Engineering,Bachelors,93200,187300,0.67
1,Operations Research & Industrial Engineering,Bachelors,84800,170400,0.28
2,Electrical Engineering & Computer Science (EECS),Bachelors,108500,159300,0.46
3,Interaction Design,Bachelors,68300,155800,0.55
4,Public Accounting,Bachelors,59800,147700,0.47
5,Operations Research,Bachelors,83500,147400,0.54
6,Applied Economics and Management,Bachelors,66100,146400,0.67
7,Business Computing (BC),Bachelors,73000,143600, 
8,Actuarial Mathematics,Bachelors,64300,143400,0.51
9,Electrical Power Engineering,Bachelors,76100,142600,0.68
10,Information & Computer Science,Bachelors,58600,140900,0.62
11,Aeronautics & Astronautics,Bachelors,77600,139600,0.56
12,Systems Engineering,Bachelors,77700,139200,0.53
13,Econometrics,Bachelors,64200,139000,0.35
14,Pharmacy,Bachelors,68600,138700,0.78
15,Aerospace Studies,Bachelors,55800,136600, 
16,Building Science,Bachelors,53800,135900,0.53
17,Chemical Engineering,Bachelors,76900,135900,0.55
18,Cognitive Science,Bachelors,68700,135200,0.42
19,Actuarial Science,Bachelors,67700,134400,0.43
20,Political Economy,Bachelors,65100,133500,0.29
21,Computer Systems Engineering,Bachelors,79000,133200,0.51
22,Electrical & Computer Engineering (ECE),Bachelors,78100,131600,0.49
23,Computer Science (CS) & Engineering,Bachelors,79400,131300,0.44
24,Marine Engineering,Bachelors,79900,131300,0.6
25,Aeronautical Engineering,Bachelors,74700,131100,0.66
26,Computer Engineering (CE),Bachelors,79000,131000,0.46
27,Naval Architecture & Marine Engineering,Bachelors,74400,130700,0.49
28,Entrepreneurship & Marketing,Bachelors,51400,129800,0.45
29,Corporate Accounting & Finance,Bachelors,65200,129700,0.55
30,Mechatronics,Bachelors,72800,129600,0.48
31,Nuclear Engineering,Bachelors,76400,129400,0.62
32,Electrical Engineering (EE),Bachelors,75600,127700,0.54
33,Foreign Affairs,Bachelors,54800,127700,0.36
34,Marine Transportation Management,Bachelors,71100,127500, 
35,Mechanical & Aeronautical Engineering,Bachelors,70900,126900,0.6
36,Welding Engineering,Bachelors,81000,126600,0.56
37,Instrumentation & Control Engineering,Bachelors,73100,126400, 
38,Computational & Applied Mathematics,Bachelors,75500,126000,0.45
39,Electrical & Electronics Engineering (EEE),Bachelors,74700,125800,0.56
40,Aerospace Engineering,Bachelors,74300,125700,0.55
41,Astronomy,Bachelors,66600,125400,0.47
42,Optical Science & Engineering,Bachelors,71000,125400, 
43,Quantitative Business Analysis,Bachelors,74000,125400,0.37
44,Computer Science (CS) & Mathematics,Bachelors,70500,125100,0.43
45,Industrial & Systems Engineering,Bachelors,73100,124800,0.48
46,Economics and Mathematics,Bachelors,68200,124100,0.35
47,Biomedical Engineering (BME),Bachelors,71300,123600,0.72
48,Managerial Economics,Bachelors,65200,123600,0.41
49,Computer Science (CS),Bachelors,75100,123400,0.42
